Entrada,Salida,Customer,Project,Activity,Description,socio,Duration
2017-10-23 16:53:00,2017-10-23 17:14:00,Bitson,Bitson,Capacitación,Bluemix con @malecuervo,nespino,0 days 00:21:00.000000000
2017-10-23 16:31:00,2017-10-23 17:40:00,Bitson,Bitson,DevOps,,abrunacci,0 days 01:09:00.000000000
2017-10-23 16:30:00,2017-10-23 18:00:00,Bitson,Bitson,Gestión operativa,Tareas pendientes SCA con @hbrunacci y @marcosdmyr. Tareas DevOps con @abrunacci: CI Cromi.,lcolombo,0 days 01:30:00.000000000
2017-10-23 16:25:00,2017-10-23 17:00:00,Bitson,Bitson,Capacitación,,cuberti,0 days 00:35:00.000000000
2017-10-23 16:15:00,2017-10-23 16:30:00,Bitson,Bitson,Gestión Interna,"Charla con @cuberti, coordinación de tareas. Pensando 2018.",lcolombo,0 days 00:15:00.000000000
2017-10-23 16:15:00,2017-10-23 17:00:00,Bitson,Bitson,Capacitación,chat front,acuervo,0 days 00:45:00.000000000
2017-10-23 16:14:00,2017-10-23 16:53:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:39:00.000000000
2017-10-23 16:00:00,2017-10-23 17:10:00,ECSA,Beagle SCA,Desarrollo,,hbrunacci,0 days 01:10:00.000000000
2017-10-23 16:00:00,2017-10-23 18:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 02:00:00.000000000
2017-10-23 16:00:00,2017-10-23 17:00:00,Andes Líneas Aéreas,Andes,Desarrollo,Idem anterior andes,ddebonis,0 days 01:00:00.000000000
2017-10-23 14:15:00,2017-10-23 16:12:00,Bitson,Bitson,Gestión Interna,,nespino,0 days 01:57:00.000000000
2017-10-23 14:05:00,2017-10-23 16:30:00,Bitson,Bitson,Reunion,,abrunacci,0 days 02:25:00.000000000
2017-10-23 14:00:00,2017-10-23 16:00:00,Bitson,Bitson,Reunion,,acuervo,0 days 02:00:00.000000000
2017-10-23 14:00:00,2017-10-23 16:15:00,Bitson,Bitson,Reunion,Reunión Semanal,lcolombo,0 days 02:15:00.000000000
2017-10-23 14:00:00,2017-10-23 16:00:00,Bitson,Bitson,Reunion,Reunion semanal,ddebonis,0 days 02:00:00.000000000
2017-10-23 14:00:00,2017-10-23 16:00:00,Bitson,Bitson,Reunion,,hbrunacci,0 days 02:00:00.000000000
2017-10-23 14:00:00,2017-10-23 16:00:00,Bitson,Bitson,Reunion,,mmesmer,0 days 02:00:00.000000000
2017-10-23 13:56:00,2017-10-23 14:15:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:19:00.000000000
2017-10-23 13:45:00,2017-10-23 14:00:00,Bitson,Bitson,Gestión Interna,Preparación reunión semanal.,lcolombo,0 days 00:15:00.000000000
2017-10-23 13:20:00,2017-10-23 13:45:00,Bitson,Bitson,Capacitación,Capacitación HttpServer a MaleCuervo,nespino,0 days 00:25:00.000000000
2017-10-23 13:15:00,2017-10-23 14:00:00,ECSA,Beagle SCA,Desarrollo,,hbrunacci,0 days 00:45:00.000000000
2017-10-23 13:00:00,2017-10-23 13:45:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 00:45:00.000000000
2017-10-23 12:40:00,2017-10-23 16:20:00,Bitson,Bitson,Capacitación,,cuberti,0 days 03:40:00.000000000
2017-10-23 12:11:00,2017-10-23 14:05:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 01:54:00.000000000
2017-10-23 12:06:00,2017-10-23 13:20:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:14:00.000000000
2017-10-23 12:00:00,2017-10-23 12:15:00,El Condominio,Migracion AWS,Desarrollo,Descompresión de backup en nuevo server.,lcolombo,0 days 00:15:00.000000000
2017-10-23 11:23:00,2017-10-23 12:06:00,Aptage,Aptage,Operativo,,nespino,0 days 00:43:00.000000000
2017-10-23 10:45:00,2017-10-23 12:02:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 01:17:00.000000000
2017-10-23 10:30:00,2017-10-23 11:00:00,Bitson,Bitson,Gestión Interna,Control de horas. Estudio INFD.,lcolombo,0 days 00:30:00.000000000
2017-10-23 10:30:00,2017-10-23 10:45:00,Andes Líneas Aéreas,Andes,Desarrollo,fix return values,abrunacci,0 days 00:15:00.000000000
2017-10-23 10:00:00,2017-10-23 13:45:00,Bitson,Bitson,Capacitación,front chatbot(levantando servidor),acuervo,0 days 03:45:00.000000000
2017-10-23 10:00:00,2017-10-23 14:00:00,Andes Líneas Aéreas,Andes,Desarrollo,"Issues de sprint1, que se pueda cargar sin todos los datos, que se pueda editar sin todos los datos.
Mejoras sprint1, foto, publicar todas las rotaciones juntas",ddebonis,0 days 04:00:00.000000000
2017-10-23 09:45:00,2017-10-23 10:00:00,El Condominio,Migracion AWS,Desarrollo,Copia backup SQL del viejo server al nuevo.,lcolombo,0 days 00:15:00.000000000
2017-10-23 09:30:00,2017-10-23 10:10:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:40:00.000000000
2017-10-22 23:29:00,2017-10-23 00:41:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:12:00.000000000
2017-10-22 21:20:00,2017-10-22 22:47:00,Aptage,Aptage,Operativo,,nespino,0 days 01:27:00.000000000
2017-10-22 20:00:00,2017-10-22 20:45:00,Andes Líneas Aéreas,Andes,Desarrollo,testing,abrunacci,0 days 00:45:00.000000000
2017-10-22 15:07:00,2017-10-22 16:00:00,Aptage,Aptage,Operativo,,nespino,0 days 00:53:00.000000000
2017-10-21 21:33:00,2017-10-22 01:06:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 03:33:00.000000000
2017-10-21 15:00:00,2017-10-21 21:00:00,El Condominio,Migracion AWS,Gestión operativa,"Dump MySQL, conexión de usuarios. Intento fallido de migración.",lcolombo,0 days 06:00:00.000000000
2017-10-20 14:04:00,2017-10-20 17:51:00,Bitson,Bitson,Capacitación,,nespino,0 days 03:47:00.000000000
2017-10-20 14:00:00,2017-10-20 18:00:00,Bitson,Bitson,Reunion,Reunion Fer Claverino,ddebonis,0 days 04:00:00.000000000
2017-10-20 14:00:00,2017-10-20 18:00:00,Bitson,Bitson,Capacitación,,hbrunacci,0 days 04:00:00.000000000
2017-10-20 14:00:00,2017-10-20 18:00:00,Bitson,Bitson,Capacitación,Capacitación ágil.,lcolombo,0 days 04:00:00.000000000
2017-10-20 14:00:00,2017-10-20 18:00:00,Bitson,Bitson,Capacitación,scrum,acuervo,0 days 04:00:00.000000000
2017-10-20 14:00:00,2017-10-20 18:00:00,Bitson,Bitson,Capacitación,,mmesmer,0 days 04:00:00.000000000
2017-10-20 13:45:00,2017-10-20 15:50:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 02:05:00.000000000
2017-10-20 13:30:00,2017-10-20 14:00:00,Bitson,Bitson,Capacitación,chatbot,acuervo,0 days 00:30:00.000000000
2017-10-20 13:15:00,2017-10-20 14:00:00,Andes Líneas Aéreas,Andes,Desarrollo,Sprint 1 conectando los issues a las endpoints que arreglo ale.,ddebonis,0 days 00:45:00.000000000
2017-10-20 12:56:00,2017-10-20 13:45:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:49:00.000000000
2017-10-20 12:56:00,2017-10-20 13:26:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 00:30:00.000000000
2017-10-20 12:30:00,2017-10-20 12:35:00,Andes Líneas Aéreas,Andes,Desarrollo,fix issue #1,abrunacci,0 days 00:05:00.000000000
2017-10-20 11:26:00,2017-10-20 11:50:00,Aptage,Aptage,Operativo,,nespino,0 days 00:24:00.000000000
2017-10-20 11:23:00,2017-10-20 12:30:00,Andes Líneas Aéreas,Andes,Desarrollo,fix issue #4,abrunacci,0 days 01:07:00.000000000
2017-10-20 11:00:00,2017-10-20 13:15:00,Bitson,Bitson,Capacitación,chat bot,acuervo,0 days 02:15:00.000000000
2017-10-20 10:30:00,2017-10-20 13:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 03:00:00.000000000
2017-10-20 10:30:00,2017-10-20 11:23:00,Andes Líneas Aéreas,Andes,Desarrollo,Solucion de issue #3,abrunacci,0 days 00:53:00.000000000
2017-10-20 10:00:00,2017-10-20 10:15:00,Bitson,Bitson,Testing,testing API-seed,abrunacci,0 days 00:15:00.000000000
2017-10-20 10:00:00,2017-10-20 12:56:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 02:56:00.000000000
2017-10-20 10:00:00,2017-10-20 14:00:00,ECSA,Beagle SCA,Desarrollo,Desarrollo y capacitacion necesaria para la tarea nro 4 ,hbrunacci,0 days 04:00:00.000000000
2017-10-20 09:22:00,2017-10-20 10:08:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:46:00.000000000
2017-10-20 09:00:00,2017-10-20 13:00:00,Andes Líneas Aéreas,Andes,Desarrollo,"Sprint 2 charter websales, desarrollo de mockups",ddebonis,0 days 04:00:00.000000000
2017-10-19 22:30:00,2017-10-19 23:40:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:10:00.000000000
2017-10-19 18:56:00,2017-10-19 20:16:00,Aptage,Aptage,Operativo,,nespino,0 days 01:20:00.000000000
2017-10-19 18:42:00,2017-10-19 18:52:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:10:00.000000000
2017-10-19 17:56:00,2017-10-19 18:42:00,Aptage,Aptage,Operativo,,nespino,0 days 00:46:00.000000000
2017-10-19 17:23:00,2017-10-19 17:34:00,Aptage,Aptage,Operativo,,nespino,0 days 00:11:00.000000000
2017-10-19 16:43:00,2017-10-19 17:22:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:39:00.000000000
2017-10-19 16:30:00,2017-10-19 17:00:00,Bitson,Cromi,Gestión operativa,Charla con @MaleCuervo x chatbot de Watson.,lcolombo,0 days 00:30:00.000000000
2017-10-19 16:30:00,2017-10-19 17:00:00,Andes Líneas Aéreas,Andes,Desarrollo,"Arreglando lo de la imagen dentro del modal de paquetes, al hacer click la imagen se agranda.",ddebonis,0 days 00:30:00.000000000
2017-10-19 16:30:00,2017-10-19 17:30:00,Andes Líneas Aéreas,Andes,Gestión operativa,"creacion de repos, carga de issues sprint 1 ",abrunacci,0 days 01:00:00.000000000
2017-10-19 16:15:00,2017-10-19 16:30:00,Andes Líneas Aéreas,Venta Charters,Reunion,Cierre reunión Planning Sprint 2 con @ddebonis.,lcolombo,0 days 00:15:00.000000000
2017-10-19 15:30:00,2017-10-19 16:15:00,Bitson,Bitson,Gestión Comercial,Charla con @gabhge sobre posibles proyectos y búsqueda de proyectos.,lcolombo,0 days 00:45:00.000000000
2017-10-19 14:30:00,2017-10-19 16:00:00,ECSA,Beagle SCA,Gestión operativa,"definicion de tareas a desarrollar con  Marcos por la opcion seleccionada ""WGBlist interna""
se definieron las tareas
las cargue en taiga y agregue a Marcos al grupo de trabajo",hbrunacci,0 days 01:30:00.000000000
2017-10-19 14:30:00,2017-10-19 18:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-10-19 14:30:00,2017-10-19 15:30:00,Andes Líneas Aéreas,Venta Charters,Reunion,Retro & Planning,lcolombo,0 days 01:00:00.000000000
2017-10-19 14:30:00,2017-10-19 16:30:00,Andes Líneas Aéreas,Andes,Reunion,Retrospective del Sprint 1 y planning del Sprint 2,ddebonis,0 days 02:00:00.000000000
2017-10-19 14:30:00,2017-10-19 16:30:00,Andes Líneas Aéreas,Andes,Reunion,Retro + Planning,abrunacci,0 days 02:00:00.000000000
2017-10-19 14:23:00,2017-10-19 16:43:00,Aptage,Aptage,Operativo,,nespino,0 days 02:20:00.000000000
2017-10-19 14:15:00,2017-10-19 14:30:00,ECSA,Beagle SCA,Reunion,Reunión con @marcosdmyr & @hbrunacci planificación modo Stand Alone.,lcolombo,0 days 00:15:00.000000000
2017-10-19 14:05:00,2017-10-19 17:00:00,Bitson,Bitson,Capacitación,chat-bot,acuervo,0 days 02:55:00.000000000
2017-10-19 14:03:00,2017-10-19 14:23:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:20:00.000000000
2017-10-19 14:00:00,2017-10-19 14:15:00,Bitson,Bitson,Gestión Interna,Búsqueda de pagos ECSA para @cuberti,lcolombo,0 days 00:15:00.000000000
2017-10-19 13:30:00,2017-10-19 14:30:00,Bitson,Bitson,Capacitación,gitlab runner CI,abrunacci,0 days 01:00:00.000000000
2017-10-19 13:25:00,2017-10-19 13:36:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:11:00.000000000
2017-10-19 13:25:00,2017-10-19 14:05:00,Bitson,Bitson,Capacitación,integración exitosa.,acuervo,0 days 00:40:00.000000000
2017-10-19 13:23:00,2017-10-19 13:23:00,Bitson,Bitson,Capacitación,,acuervo,0 days 00:00:00.000000000
2017-10-19 13:00:00,2017-10-19 13:30:00,Andes Líneas Aéreas,Andes,Testing,,abrunacci,0 days 00:30:00.000000000
2017-10-19 12:30:00,2017-10-19 14:30:00,Andes Líneas Aéreas,Andes,Desarrollo,Idem anterior,ddebonis,0 days 02:00:00.000000000
2017-10-19 11:55:00,2017-10-19 13:25:00,Aptage,Aptage,Operativo,,nespino,0 days 01:30:00.000000000
2017-10-19 11:38:00,2017-10-19 11:55:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:17:00.000000000
2017-10-19 11:25:00,2017-10-19 11:38:00,Aptage,Aptage,Operativo,,nespino,0 days 00:13:00.000000000
2017-10-19 11:00:00,2017-10-19 14:30:00,ECSA,Beagle SCA,Gestión operativa,"Charlas varias con Marcos para la definición de mejor plan para llegar al objetivo de stand alone. 

Se analizaron opciones de:

-Cluster de bases de datos por medio de Bucardo
(se descarta por poco escalable sobre beagles)
-Manejo de Cola de mensajes, se descartó por nivel de complejidad al tiempo disponible
-WBGList interna en el firmware que responda ante una caída del servicio de red. (opción elegida por factibilidad)",hbrunacci,0 days 03:30:00.000000000
2017-10-19 10:35:00,2017-10-19 12:31:00,Bitson,Bitson,Capacitación,CI and CD for gitlab runner,abrunacci,0 days 01:56:00.000000000
2017-10-19 10:30:00,2017-10-19 11:00:00,Bitson,Bitson,Gestión operativa,"Meet con Lecovi y Marcos por 
- Stand alone en BBB
- Conexión a Ticketek con Sigas",hbrunacci,0 days 00:30:00.000000000
2017-10-19 10:30:00,2017-10-19 11:00:00,ECSA,Beagle SCA,Gestión operativa,Hangout de coordinación Actualización Ticketek y modo Stand Alone de la Beagle.,lcolombo,0 days 00:30:00.000000000
2017-10-19 10:30:00,2017-10-19 14:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-10-19 10:10:00,2017-10-19 13:10:00,Bitson,Bitson,Capacitación,integracion chat a facebook bitson,acuervo,0 days 03:00:00.000000000
2017-10-19 10:00:00,2017-10-19 14:00:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 04:00:00.000000000
2017-10-19 09:37:00,2017-10-19 10:15:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:38:00.000000000
2017-10-19 09:00:00,2017-10-19 12:00:00,Andes Líneas Aéreas,Andes,Desarrollo,Issues y peticiones de la demo de ayer con andes,ddebonis,0 days 03:00:00.000000000
2017-10-18 22:00:00,2017-10-19 00:00:00,Bitson,Bitson,Capacitación,CI for gitlab runner,abrunacci,0 days 02:00:00.000000000
2017-10-18 20:15:00,2017-10-18 21:05:00,Bitson,Bitson,Gestión operativa,Tareas de elcondominio.com,lcolombo,0 days 00:50:00.000000000
2017-10-18 18:40:00,2017-10-18 20:23:00,Aptage,Aptage,Operativo,,nespino,0 days 01:43:00.000000000
2017-10-18 17:30:00,2017-10-18 19:30:00,Bitson,Bitson,Gestión operativa,Tareas de elcondominio.com & Conexión VPN Ticketek.,lcolombo,0 days 02:00:00.000000000
2017-10-18 17:26:00,2017-10-18 18:06:00,Aptage,Aptage,Operativo,,nespino,0 days 00:40:00.000000000
2017-10-18 17:07:00,2017-10-18 17:26:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:19:00.000000000
2017-10-18 14:30:00,2017-10-18 18:00:00,ECSA,Sigas SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-10-18 14:00:00,2017-10-18 17:07:00,Aptage,Aptage,Operativo,,nespino,0 days 03:07:00.000000000
2017-10-18 14:00:00,2017-10-18 17:30:00,Andes Líneas Aéreas,Venta Charters,Reunion,Demo & Refinamiento de US.,lcolombo,0 days 03:30:00.000000000
2017-10-18 14:00:00,2017-10-18 17:00:00,Andes Líneas Aéreas,Andes,Reunion,Demo en las oficinas de andes,ddebonis,0 days 03:00:00.000000000
2017-10-18 13:23:00,2017-10-18 13:59:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:36:00.000000000
2017-10-18 13:20:00,2017-10-18 16:45:00,Bitson,Bitson,Capacitación,chatbot/ SDK node.js(integración con facebook)/ para realizar integración de prueba.,acuervo,0 days 03:25:00.000000000
2017-10-18 13:00:00,2017-10-18 17:00:00,Andes Líneas Aéreas,Andes,Demo,,abrunacci,0 days 04:00:00.000000000
2017-10-18 12:30:00,2017-10-18 13:00:00,Bitson,Bitson,Capacitación,"lectura de documentacion de gitlab runner
",abrunacci,0 days 00:30:00.000000000
2017-10-18 12:29:00,2017-10-18 13:12:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:43:00.000000000
2017-10-18 12:00:00,2017-10-18 12:29:00,Bitson,Cromi,Comunicación,,nespino,0 days 00:29:00.000000000
2017-10-18 11:30:00,2017-10-18 12:30:00,Andes Líneas Aéreas,Andes,Gestión operativa,"configurando bitbucket
",abrunacci,0 days 01:00:00.000000000
2017-10-18 11:02:00,2017-10-18 12:00:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:58:00.000000000
2017-10-18 10:30:00,2017-10-18 14:00:00,ECSA,Sigas SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-10-18 10:25:00,2017-10-18 15:45:00,ECSA,Beagle SCA,Desarrollo,"Pruebas de stress a la placa en búsqueda de erro de ruido en el display. Todo indica problemas en el binario o en el i2c

Primeros minutos con la reinstalacion de todo el del entorno de desarrollo (se rompió al cambiar la carpeta de virtualenvs )
",hbrunacci,0 days 05:20:00.000000000
2017-10-18 10:20:00,2017-10-18 13:00:00,Bitson,Bitson,Capacitación,chatbot/integracion cromi,acuervo,0 days 02:40:00.000000000
2017-10-18 10:00:00,2017-10-18 11:00:00,Bitson,Bitson,Gestión Interna,Charla con @cuberti. Coordinación de tareas @Abrunacci y @ddebonis. Asistencia técnica virtualenv @hbrunacci. ,lcolombo,0 days 01:00:00.000000000
2017-10-18 09:45:00,2017-10-18 11:30:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 01:45:00.000000000
2017-10-18 09:00:00,2017-10-18 13:00:00,Andes Líneas Aéreas,Andes,Desarrollo,"Pruebas de cambio en las request por async/await para evitar problemas con el asincronismo, seguramente lo implemente en el proximo sprint",ddebonis,0 days 04:00:00.000000000
2017-10-18 00:35:00,2017-10-18 03:35:00,Andes Líneas Aéreas,Andes,Entorno de desarrollo,deploy staging y documentacion,abrunacci,0 days 03:00:00.000000000
2017-10-17 20:59:00,2017-10-17 22:20:00,Aptage,Aptage,Operativo,,nespino,0 days 01:21:00.000000000
2017-10-17 19:30:00,2017-10-17 20:00:00,ECSA,Sigas SCA,Presupuesto,Creación de proforma. Envío de presupuesto.,lcolombo,0 days 00:30:00.000000000
2017-10-17 19:20:00,2017-10-17 19:30:00,ECSA,Sigas SCA,Presupuesto,OT61,lcolombo,0 days 00:10:00.000000000
2017-10-17 18:30:00,2017-10-17 19:20:00,Andes Líneas Aéreas,Venta Charters,Gestión operativa,Limpieza deploy fallido Andes Staging @BOHR. Actualizando reglas del FW en SRV2 p/ nuevo Staging Andes @KEPLER.,lcolombo,0 days 00:50:00.000000000
2017-10-17 18:00:00,2017-10-17 18:30:00,ECSA,Sigas SCA,Gestión operativa,Estado de situación c/ @marcosdmyr,lcolombo,0 days 00:30:00.000000000
2017-10-17 17:15:00,2017-10-17 18:00:00,Andes Líneas Aéreas,Venta Charters,Gestión operativa,Deploy @ staging.,lcolombo,0 days 00:45:00.000000000
2017-10-17 16:30:00,2017-10-17 17:30:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:00:00.000000000
2017-10-17 16:03:00,2017-10-17 18:13:00,Andes Líneas Aéreas,Andes,Testing,,abrunacci,0 days 02:10:00.000000000
2017-10-17 16:00:00,2017-10-17 17:15:00,Bitson,Bitson,Intercooperativo,Reunión con @gabghe y @niqus x CRM,lcolombo,0 days 01:15:00.000000000
2017-10-17 15:31:00,2017-10-17 15:51:00,Andes Líneas Aéreas,Andes,Entorno de desarrollo,deploy staging,abrunacci,0 days 00:20:00.000000000
2017-10-17 15:15:00,2017-10-17 16:00:00,Bitson,Bitson,Gestión Interna,Coordinación de tareas pendientes.,lcolombo,0 days 00:45:00.000000000
2017-10-17 15:15:00,2017-10-17 16:00:00,Andes Líneas Aéreas,Andes,Entorno de desarrollo,Seteo de bitbucket,ddebonis,0 days 00:45:00.000000000
2017-10-17 15:05:00,2017-10-17 15:30:00,Andes Líneas Aéreas,Andes,Desarrollo,modificacion al editar paquete,abrunacci,0 days 00:25:00.000000000
2017-10-17 15:00:00,2017-10-17 15:15:00,Bitson,Bitson,Desarrollo,Ayuda a male con la landing de bitson,ddebonis,0 days 00:15:00.000000000
2017-10-17 15:00:00,2017-10-17 16:45:00,Bitson,Bitson,Capacitación,terminar de arreglar el cambio de idioma para la landing bitson/ chatbot,acuervo,0 days 01:45:00.000000000
2017-10-17 15:00:00,2017-10-17 18:00:00,ECSA,Sigas SCA,Desarrollo,,mmesmer,0 days 03:00:00.000000000
2017-10-17 15:00:00,2017-10-17 15:15:00,Andes Líneas Aéreas,Venta Charters,Demo,Pre demo 1°Sprint,lcolombo,0 days 00:15:00.000000000
2017-10-17 15:00:00,2017-10-17 15:05:00,Andes Líneas Aéreas,Andes,Demo,pre demo,abrunacci,0 days 00:05:00.000000000
2017-10-17 14:59:00,2017-10-17 16:30:00,Aptage,Aptage,Operativo,,nespino,0 days 01:31:00.000000000
2017-10-17 14:00:00,2017-10-17 15:00:00,Bitson,Bitson,Reunion,,acuervo,0 days 01:00:00.000000000
2017-10-17 14:00:00,2017-10-17 15:00:00,Bitson,Bitson,Reunion,Reunión semanal.,lcolombo,0 days 01:00:00.000000000
2017-10-17 14:00:00,2017-10-17 15:00:00,Bitson,Bitson,Reunion,,abrunacci,0 days 01:00:00.000000000
2017-10-17 14:00:00,2017-10-17 15:00:00,Bitson,Bitson,Reunion,Reunion Semanal,ddebonis,0 days 01:00:00.000000000
2017-10-17 14:00:00,2017-10-17 15:00:00,Bitson,Bitson,Reunion,,hbrunacci,0 days 01:00:00.000000000
2017-10-17 14:00:00,2017-10-17 15:00:00,Bitson,Bitson,Reunion,,mmesmer,0 days 01:00:00.000000000
2017-10-17 13:53:00,2017-10-17 14:59:00,Bitson,Bitson,Gestión Interna,,nespino,0 days 01:06:00.000000000
2017-10-17 13:00:00,2017-10-17 14:00:00,Andes Líneas Aéreas,Andes,Desarrollo,filtros y deploy,abrunacci,0 days 01:00:00.000000000
2017-10-17 12:43:00,2017-10-17 13:53:00,Aptage,Aptage,Operativo,,nespino,0 days 01:10:00.000000000
2017-10-17 12:00:00,2017-10-17 13:30:00,ECSA,Sigas SCA,Desarrollo,,mmesmer,0 days 01:30:00.000000000
2017-10-17 12:00:00,2017-10-17 13:00:00,Andes Líneas Aéreas,Andes,Desarrollo,filtros,abrunacci,0 days 01:00:00.000000000
2017-10-17 11:50:00,2017-10-17 12:42:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:52:00.000000000
2017-10-17 11:06:00,2017-10-17 11:50:00,Aptage,Aptage,Operativo,,nespino,0 days 00:44:00.000000000
2017-10-17 11:00:00,2017-10-17 12:00:00,Andes Líneas Aéreas,Andes,Entorno de desarrollo,"deploy dev
y pre pre demo",abrunacci,0 days 01:00:00.000000000
2017-10-17 11:00:00,2017-10-17 12:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,mmesmer,0 days 01:00:00.000000000
2017-10-17 10:30:00,2017-10-17 13:00:00,Bitson,Bitson,Capacitación,implementando textos traducidos a landing bitson.,acuervo,0 days 02:30:00.000000000
2017-10-17 10:00:00,2017-10-17 11:33:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 01:33:00.000000000
2017-10-17 10:00:00,2017-10-17 12:45:00,Bitson,Molinete Plastico,Reunion,"Reunion con Alan en las oficinas de moldumet.

Se hicieron ajustes de diseño mas que nada para salvar pequeños problemas que puede haber en la diferencia de contracciones del rotomoldeado segun color y los encuentros con el termo formado
",hbrunacci,0 days 02:45:00.000000000
2017-10-17 10:00:00,2017-10-17 11:00:00,Andes Líneas Aéreas,Andes,Desarrollo,correcciónes a pedido de @ddebonis,abrunacci,0 days 01:00:00.000000000
2017-10-17 09:45:00,2017-10-17 11:15:00,Bitson,Bitson,Gestión Interna,Envío mail reunión semanal. Coordinación tareas con @cuberti. Coordinación tareas con @Ninja_Bitson x elcondominio.com. Coordinación con @MaleCuervo x landing de bitson. Coordinación de tareas con @marcosdmyr x Reportes SCA.,lcolombo,0 days 01:30:00.000000000
2017-10-17 09:00:00,2017-10-17 14:00:00,Andes Líneas Aéreas,Andes,Desarrollo,"Correcciones en States, en guardar paquetes, agregado de filtro y endpoints, cambios post demo de front.",ddebonis,0 days 05:00:00.000000000
2017-10-16 21:35:00,2017-10-16 22:35:00,Bitson,Cromi,Desarrollo,Fixeando tests. Ahora usando pytest.,lcolombo,0 days 01:00:00.000000000
2017-10-16 18:57:00,2017-10-16 21:36:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 02:39:00.000000000
2017-10-16 15:00:00,2017-10-16 17:00:00,Bitson,Cromi,Desarrollo,Mejorando acceso a la API. Test WIP.,lcolombo,0 days 02:00:00.000000000
2017-10-16 13:30:00,2017-10-16 15:00:00,Bitson,Cromi,Desarrollo,"Front: Custom error pages.
Back: access db WIP.",lcolombo,0 days 01:30:00.000000000
2017-10-16 13:00:00,2017-10-16 13:30:00,Bitson,Bitson,Comunicación,404 y 500 error pages.,lcolombo,0 days 00:30:00.000000000
2017-10-16 10:55:00,2017-10-16 14:41:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 03:46:00.000000000
2017-10-15 20:30:00,2017-10-15 23:00:00,Bitson,Cromi,Desarrollo,Pipenv & DB access.,lcolombo,0 days 02:30:00.000000000
2017-10-15 18:00:00,2017-10-15 20:00:00,Andes Líneas Aéreas,Andes,Testing,,abrunacci,0 days 02:00:00.000000000
2017-10-13 19:00:00,2017-10-13 20:00:00,ECSA,Sigas SCA,Desarrollo,,mmesmer,0 days 01:00:00.000000000
2017-10-13 18:27:00,2017-10-13 19:01:00,Andes Líneas Aéreas,Andes,Testing,,abrunacci,0 days 00:34:00.000000000
2017-10-13 18:13:00,2017-10-13 20:10:00,Aptage,Aptage,Operativo,,nespino,0 days 01:57:00.000000000
2017-10-13 16:30:00,2017-10-13 19:00:00,Bitson,Kairos,Gestión Comercial,Reunión con MICÓ&Asociados.,lcolombo,0 days 02:30:00.000000000
2017-10-13 16:21:00,2017-10-13 17:57:00,Aptage,Aptage,Operativo,,nespino,0 days 01:36:00.000000000
2017-10-13 16:00:00,2017-10-13 16:30:00,Bitson,Bitson,Gestión Interna,"Acompañamiento de tareas: landing bitson, reportes SCA, Demo Andes, visita Cromi.",lcolombo,0 days 00:30:00.000000000
